Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge
83,79,128,92,70,83,76,86,76,92,96,97,70,92,109,85,112,83,79,112,83,86,84,81,76,95,80,87,84,86
83,81,129,92,70,83,76,86,77,92,98,97,70,92,110,85,113,84,79,112,84,87,84,81,76,95,80,87,85,86
83,82,129,93,71,84,76,86,78,92,98,97,70,92,110,87,113,84,79,112,85,88,84,81,76,95,80,87,86,86
83,86,130,93,72,85,76,86,78,92,98,97,72,92,110,87,113,85,79,112,86,88,84,81,76,95,82,88,86,86
83,86,130,94,73,86,76,86,79,94,98,97,73,93,110,87,113,85,80,113,88,88,84,81,77,96,83,88,86,87
83,86,130,94,73,86,77,86,79,95,98,97,73,93,110,87,113,86,80,113,88,89,84,82,77,96,83,88,86,88
84,87,130,94,74,86,77,86,79,95,99,97,73,93,110,87,113,86,80,113,89,91,84,82,77,96,84,88,87,88
86,87,131,94,74,86,77,86,79,96,100,100,73,93,110,87,113,86,80,113,90,92,85,83,77,96,85,88,89,88
86,87,132,94,74,86,78,87,79,97,100,100,73,93,110,88,114,86,80,114,90,93,85,84,77,96,86,88,90,88
86,87,132,94,74,86,78,87,80,97,101,101,74,94,110,88,114,86,81,114,90,94,85,85,78,97,86,88,90,88
86,87,132,94,74,88,79,87,80,97,101,101,75,94,110,89,114,88,82,114,90,94,85,85,78,97,86,88,91,88
86,87,132,95,74,88,81,87,81,98,101,101,76,96,111,89,114,88,82,114,90,95,85,86,78,97,86,89,92,88
87,87,133,95,74,89,82,88,81,98,101,101,76,97,111,89,114,88,83,114,90,95,85,86,78,97,87,89,92,88
88,87,133,95,75,89,82,88,81,98,102,101,77,97,112,89,114,89,83,114,90,95,85,86,78,98,87,89,92,90
88,87,133,95,75,89,82,88,81,98,102,101,77,97,112,90,114,89,83,115,90,95,86,86,79,99,87,89,93,92
89,88,133,96,75,89,82,88,83,98,102,101,78,97,112,91,114,90,83,115,90,95,86,86,79,100,88,90,93,92
89,88,133,97,76,90,83,88,83,99,102,101,79,97,113,91,114,91,83,115,90,95,87,86,79,100,88,90,93,93
89,89,133,97,76,90,83,88,83,99,102,101,79,97,113,91,114,91,83,117,90,95,87,86,81,100,88,90,94,93
89,89,133,98,76,90,83,89,84,99,102,101,79,97,113,91,114,91,84,117,91,96,87,86,82,101,88,90,94,94
89,89,133,98,77,90,84,89,84,100,103,101,81,97,113,91,116,91,84,117,91,96,87,86,82,101,88,90,95,94
89,89,133,98,79,90,84,89,84,101,103,102,81,99,113,91,116,92,84,117,92,96,87,87,82,101,88,90,96,94
89,89,133,99,80,90,85,89,86,103,104,102,81,101,114,91,117,92,84,117,92,96,88,88,82,101,88,90,96,94
89,89,133,99,81,90,86,90,86,103,104,102,81,102,114,93,117,92,85,117,92,96,88,88,83,101,88,92,96,94
